,Min,Max
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Day,21.843698052518267,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Night,4.97525509497253e-09,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Open,1.9857907320467802,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Close,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Day,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Night,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Open,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_p_Close,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_p_Day,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_p_Night,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_p_Open,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_9_RXN_c_Close,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_9_RXN_c_Day,7.007800694576314,0.0
1_PERIOD_2_PERIOD_1_PERIOD_9_RXN_c_Night,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_9_RXN_c_Open,0.6370727904229707,0.0
1_PERIOD_5_PERIOD_1_PERIOD_20_RXN_c_Close,0.0,0.0
1_PERIOD_5_PERIOD_1_PERIOD_20_RXN_c_Day,0.0,0.0
1_PERIOD_5_PERIOD_1_PERIOD_20_RXN_c_Night,0.0,0.0
1_PERIOD_5_PERIOD_1_PERIOD_20_RXN_c_Open,0.0,0.0
1_PERIOD_8_PERIOD_4_PERIOD_9_RXN_p_Close,0.0,0.0
1_PERIOD_8_PERIOD_4_PERIOD_9_RXN_p_Day,0.0,0.0
1_PERIOD_8_PERIOD_4_PERIOD_9_RXN_p_Night,0.0,0.0
1_PERIOD_8_PERIOD_4_PERIOD_9_RXN_p_Open,0.0,0.0
1_PERIOD_8_PERIOD_5_PERIOD_1_RXN_p_Close,0.0,0.0
1_PERIOD_8_PERIOD_5_PERIOD_1_RXN_p_Day,0.0,0.0
1_PERIOD_8_PERIOD_5_PERIOD_1_RXN_p_Night,0.0,0.0
1_PERIOD_8_PERIOD_5_PERIOD_1_RXN_p_Open,0.0,0.0
2KG_ACONITATE_mc_Close,1000.0,-1000.0
2KG_ACONITATE_mc_Day,1000.0,-1000.0
2KG_ACONITATE_mc_Night,1000.0,-1000.0
2KG_ACONITATE_mc_Open,1000.0,-1000.0
2KG_CIT_mc_Close,1000.0,-1000.0
2KG_CIT_mc_Day,1000.0,-1000.0
2KG_CIT_mc_Night,1000.0,-1000.0
2KG_CIT_mc_Open,1000.0,-1000.0
2KG_ISOCITRATE_mc_Close,1000.0,-1000.0
2KG_ISOCITRATE_mc_Day,1000.0,-1000.0
2KG_ISOCITRATE_mc_Night,1000.0,-1000.0
2KG_ISOCITRATE_mc_Open,1000.0,-1000.0
2KG_MAL_mc_Close,1000.0,-1000.0
2KG_MAL_mc_Day,1000.0,-1000.0
2KG_MAL_mc_Night,1000.0,-1000.0
2KG_MAL_mc_Open,1000.0,-1000.0
2KG_MAL_pc_Close,0.0,0.0
2KG_MAL_pc_Day,-0.5169704119435943,-0.5169704119599446
2KG_MAL_pc_Night,0.0,0.0
2KG_MAL_pc_Open,-0.02313640573516715,-0.02313640572021136
2KG_OAA_mc_Close,1000.0,-1000.0
2KG_OAA_mc_Day,1000.0,-1000.0
2KG_OAA_mc_Night,1000.0,-1000.0
2KG_OAA_mc_Open,1000.0,-1000.0
2KG_SUC_mc_Close,1000.0,-1000.0
2KG_SUC_mc_Day,1000.0,-1000.0
2KG_SUC_mc_Night,1000.0,-1000.0
2KG_SUC_mc_Open,1000.0,-1000.0
2OXOGLUTARATEDEH_RXN_m_Close,0.35215787731057974,0.35215787721771125
2OXOGLUTARATEDEH_RXN_m_Day,0.0,0.0
2OXOGLUTARATEDEH_RXN_m_Night,1.8905937125614765,1.8905937125802863
2OXOGLUTARATEDEH_RXN_m_Open,0.0,0.0
2PGADEHYDRAT_RXN_c_Close,1000.0,-999.6478421227116
2PGADEHYDRAT_RXN_c_Day,1000.0,-1000.0
2PGADEHYDRAT_RXN_c_Night,1000.0,-998.1094062874557
2PGADEHYDRAT_RXN_c_Open,1000.0,-999.9999999999997
2PGADEHYDRAT_RXN_p_Close,1000.0,-999.6478421227091
2PGADEHYDRAT_RXN_p_Day,999.9999999999977,-1000.0
2PGADEHYDRAT_RXN_p_Night,1000.0,-998.10940628734
2PGADEHYDRAT_RXN_p_Open,1000.0000000000019,-1000.0000000000001
2TRANSKETO_RXN_p_Close,0.10057521800660973,0.10057521802850637
2TRANSKETO_RXN_p_Day,-1.378587765186302,-1.3785877651854246
2TRANSKETO_RXN_p_Night,1.4368512216721194,1.4368512215442972
2TRANSKETO_RXN_p_Open,-0.06169708195992742,-0.06169708196224949
2_ISOPROPYLMALATESYN_RXN_p_Close,0.0,0.0
2_ISOPROPYLMALATESYN_RXN_p_Day,0.0,0.0
2_ISOPROPYLMALATESYN_RXN_p_Night,0.0,0.0
2_ISOPROPYLMALATESYN_RXN_p_Open,0.0,0.0
2_KETOGLUTARATE_xc_Close,1000.0000000000059,-1000.0
2_KETOGLUTARATE_xc_Day,1000.0,-998.9660591761123
2_KETOGLUTARATE_xc_Night,1000.0000000000715,-1000.0000000000041
2_KETOGLUTARATE_xc_Open,999.9999999999998,-999.953727188511
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Close,0.0,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Day,0.0,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Night,0.0,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Open,0.0,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Close,0.0,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Day,0.0,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Night,0.0,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Open,0.0,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Close,0.0,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Day,0.0,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Night,0.0,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Open,0.0,0.0
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Close,0.12579132962454195,-0.9000000000868441
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Day,-0.7199999999885638,-3.187984207005811
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Night,0.2268712455759318,-2.46700437855904e-10
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Open,-0.14267450207503765,-0.14267450205279428
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Close,1.0257913296380015,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Day,0.0,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Night,0.22687124551527466,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Open,0.0,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Close,1.0257913294759873,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Day,0.0,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Night,0.2268712455401095,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Open,0.0,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Close,0.0,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Day,0.0,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Night,0.0,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Open,0.0,0.0
3PGAREARR_RXN_c_Close,999.9999999999998,-999.6478421226633
3PGAREARR_RXN_c_Day,999.9999999999982,-999.9999999999995
3PGAREARR_RXN_c_Night,1000.0,-998.10940628744
3PGAREARR_RXN_c_Open,1000.0,-1000.0000000000002
3PGAREARR_RXN_p_Close,1000.0,-999.6478421224479
3PGAREARR_RXN_p_Day,1000.0,-999.9999999999999
3PGAREARR_RXN_p_Night,1000.0,-998.109406287441
3PGAREARR_RXN_p_Open,1000.0000000000177,-1000.0
3PGA_Pi_pc_Close,1000.0,-1000.0
3PGA_Pi_pc_Day,1000.0,-1000.0
3PGA_Pi_pc_Night,1000.0,-1000.0
3PGA_Pi_pc_Open,1000.0,-1000.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Close,0.0,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Day,0.0,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Night,0.0,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Open,0.0,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Close,0.0,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Day,0.0,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Night,0.0,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Open,0.0,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Close,0.0,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Day,0.0,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Night,0.0,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Open,0.0,0.0
3_ISOPROPYLMALISOM_RXN_p_Close,0.0,0.0
3_ISOPROPYLMALISOM_RXN_p_Day,0.0,0.0
3_ISOPROPYLMALISOM_RXN_p_Night,0.0,0.0
3_ISOPROPYLMALISOM_RXN_p_Open,0.0,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Close,0.0,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Day,1.2339921034987977,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Night,0.0,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Open,0.0,0.0
4_AMINO_BUTYRATE_PROTON_vc_Close,0.0,0.0
4_AMINO_BUTYRATE_PROTON_vc_Day,1.2339921035076404,0.0
4_AMINO_BUTYRATE_PROTON_vc_Night,0.0,0.0
4_AMINO_BUTYRATE_PROTON_vc_Open,0.0,0.0
4_AMINO_BUTYRATE_mc_Close,0.0,0.0
4_AMINO_BUTYRATE_mc_Day,0.0,0.0
4_AMINO_BUTYRATE_mc_Night,0.0,0.0
4_AMINO_BUTYRATE_mc_Open,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Close,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Day,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Night,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Open,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Close,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Day,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Night,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Open,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Close,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Day,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Night,0.0,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Open,0.0,0.0
5_METHYL_THF_pc_Close,0.0,0.0
5_METHYL_THF_pc_Day,0.0,0.0
5_METHYL_THF_pc_Night,0.0,0.0
5_METHYL_THF_pc_Open,0.0,0.0
6PFRUCTPHOS_RXN_c_Close,1.0257913296388683,0.0
6PFRUCTPHOS_RXN_c_Day,0.0,0.0
6PFRUCTPHOS_RXN_c_Night,0.22687124533320002,0.0
6PFRUCTPHOS_RXN_c_Open,0.0,0.0
6PFRUCTPHOS_RXN_p_Close,1.0257913296290155,0.0
6PFRUCTPHOS_RXN_p_Day,0.0,0.0
6PFRUCTPHOS_RXN_p_Night,0.22687124530372288,0.0
6PFRUCTPHOS_RXN_p_Open,0.0,0.0
6PGLUCONDEHYDROG_RXN_c_Close,0.1424574564695149,0.14245745654966413
6PGLUCONDEHYDROG_RXN_c_Day,0.0,0.0
6PGLUCONDEHYDROG_RXN_c_Night,2.558603489757883,2.558603490869018
6PGLUCONDEHYDROG_RXN_c_Open,0.0,0.0
6PGLUCONDEHYDROG_RXN_p_Close,0.1592681976169677,0.15926819759766886
6PGLUCONDEHYDROG_RXN_p_Day,0.0,0.0
6PGLUCONDEHYDROG_RXN_p_Night,1.7519501736534282,1.7519501736371652
6PGLUCONDEHYDROG_RXN_p_Open,0.0,0.0
6PGLUCONOLACT_RXN_c_Close,0.14245745656516923,0.14245745648456512
6PGLUCONOLACT_RXN_c_Day,0.0,0.0
6PGLUCONOLACT_RXN_c_Night,2.5586034910070743,2.558603490978614
6PGLUCONOLACT_RXN_c_Open,0.0,0.0
6PGLUCONOLACT_RXN_p_Close,0.1592681976033871,0.15926819762572877
6PGLUCONOLACT_RXN_p_Day,0.0,0.0
6PGLUCONOLACT_RXN_p_Night,1.7519501736836105,1.7519501736438707
6PGLUCONOLACT_RXN_p_Open,0.0,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Close,0.0,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Day,0.0,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Night,-1.1214558581271007e-10,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Open,0.0,0.0
ACETALD_mc_Close,0.0,0.0
ACETALD_mc_Day,0.0,0.0
ACETALD_mc_Night,0.0,0.0
ACETALD_mc_Open,0.0,0.0
ACETATE_COA_LIGASE_RXN_p_Close,0.0,0.0
ACETATE_COA_LIGASE_RXN_p_Day,0.0,0.0
ACETATE_COA_LIGASE_RXN_p_Night,0.0,0.0
ACETATE_COA_LIGASE_RXN_p_Open,0.0,0.0
ACETATE_COA_LIGASE_RXN_x_Close,0.0,0.0
ACETATE_COA_LIGASE_RXN_x_Day,0.0,0.0
ACETATE_COA_LIGASE_RXN_x_Night,0.0,0.0
ACETATE_COA_LIGASE_RXN_x_Open,0.0,0.0
ACETOLACTREDUCTOISOM_RXN_p_Close,0.0,0.0
ACETOLACTREDUCTOISOM_RXN_p_Day,0.0,0.0
ACETOLACTREDUCTOISOM_RXN_p_Night,0.0,0.0
ACETOLACTREDUCTOISOM_RXN_p_Open,0.0,0.0
ACETOLACTSYN_RXN_p_Close,0.0,0.0
ACETOLACTSYN_RXN_p_Day,0.0,0.0
ACETOLACTSYN_RXN_p_Night,0.0,0.0
ACETOLACTSYN_RXN_p_Open,0.0,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Close,0.0,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Day,0.0,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Night,0.0,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Open,0.0,0.0
ACETOOHBUTSYN_RXN_p_Close,0.0,0.0
ACETOOHBUTSYN_RXN_p_Day,0.0,0.0
ACETOOHBUTSYN_RXN_p_Night,0.0,0.0
ACETOOHBUTSYN_RXN_p_Open,0.0,0.0
ACETYLGLUTKIN_RXN_p_Close,0.0,0.0
ACETYLGLUTKIN_RXN_p_Day,0.0,0.0
ACETYLGLUTKIN_RXN_p_Night,0.0,0.0
ACETYLGLUTKIN_RXN_p_Open,0.0,0.0
ACETYLORNTRANSAM_RXN_p_Close,0.0,0.0
ACETYLORNTRANSAM_RXN_p_Day,0.0,0.0
ACETYLORNTRANSAM_RXN_p_Night,0.0,0.0
ACETYLORNTRANSAM_RXN_p_Open,0.0,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Close,0.0,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Day,0.0,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Night,0.0,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Open,0.0,0.0
ACET_mc_Close,0.0,0.0
ACET_mc_Day,0.0,0.0
ACET_mc_Night,0.0,0.0
ACET_mc_Open,0.0,0.0
ACET_pc_Close,0.0,0.0
ACET_pc_Day,0.0,0.0
ACET_pc_Night,0.0,0.0
ACET_pc_Open,0.0,0.0
ACET_xc_Close,0.0,0.0
ACET_xc_Day,0.0,0.0
ACET_xc_Night,0.0,0.0
ACET_xc_Open,0.0,0.0
ACONITATEDEHYDR_RXN_c_Close,1000.0,-999.6478421226683
ACONITATEDEHYDR_RXN_c_Day,1000.0,-1000.0
ACONITATEDEHYDR_RXN_c_Night,1000.0,-998.1094062874417
ACONITATEDEHYDR_RXN_c_Open,1000.0,-1000.0
ACONITATEDEHYDR_RXN_m_Close,1000.0,-999.6478421227009
ACONITATEDEHYDR_RXN_m_Day,999.9999999999984,-1000.0
ACONITATEDEHYDR_RXN_m_Night,1000.0,-998.1094062874052
ACONITATEDEHYDR_RXN_m_Open,1000.0,-1000.0
ACONITATEHYDR_RXN_c_Close,1000.0,-999.6478421224679
ACONITATEHYDR_RXN_c_Day,1000.0,-1000.0
ACONITATEHYDR_RXN_c_Night,1000.0,-998.1094062874364
ACONITATEHYDR_RXN_c_Open,1000.0000000000002,-1000.0
ACONITATEHYDR_RXN_m_Close,1000.0,-999.647842122694
ACONITATEHYDR_RXN_m_Day,1000.0,-1000.0000000000008
ACONITATEHYDR_RXN_m_Night,1000.0,-998.1094062874432
ACONITATEHYDR_RXN_m_Open,1000.0,-1000.0000000000002
ACSERLY_RXN_c_Close,0.0,0.0
ACSERLY_RXN_c_Day,0.0,0.0
ACSERLY_RXN_c_Night,0.0,0.0
ACSERLY_RXN_c_Open,0.0,0.0
ACSERLY_RXN_p_Close,0.0,0.0
ACSERLY_RXN_p_Day,0.0,0.0
ACSERLY_RXN_p_Night,0.0,0.0
ACSERLY_RXN_p_Open,0.0,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Close,0.0,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Day,0.0,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Night,0.0,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Open,0.0,0.0
ADENYL_KIN_RXN_c_Close,998.4198230375433,-1000.0
ADENYL_KIN_RXN_c_Day,990.3343834939132,-1000.0
ADENYL_KIN_RXN_c_Night,986.2364777725686,-1000.0
ADENYL_KIN_RXN_c_Open,998.5402945672328,-1000.0
ADENYL_KIN_RXN_m_Close,502.60596829208583,-497.39403170790763
ADENYL_KIN_RXN_m_Day,509.9241017120724,-490.3343834939142
ADENYL_KIN_RXN_m_Night,513.990393473025,-486.00960652705766
ADENYL_KIN_RXN_m_Open,501.4712736356431,-498.54029456723123
ADENYL_KIN_RXN_p_Close,499.99999999999477,-500.0000000000221
ADENYL_KIN_RXN_p_Day,500.00000000000745,-500.0000000000092
ADENYL_KIN_RXN_p_Night,499.9999999999998,-500.0000000000617
ADENYL_KIN_RXN_p_Open,499.9999999999821,-500.00000000000415
ADP_pc_Close,1000.0,-1000.0
ADP_pc_Day,1000.0,-1000.0
ADP_pc_Night,1000.0,-1000.0
ADP_pc_Open,1000.0,-1000.0
AICARTRANSFORM_RXN_p_Close,0.0,0.0
AICARTRANSFORM_RXN_p_Day,0.0,0.0
AICARTRANSFORM_RXN_p_Night,0.0,0.0
AICARTRANSFORM_RXN_p_Open,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Close,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Day,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Night,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Open,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Close,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Day,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Night,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Open,0.0,0.0
ALANINE_AMINOTRANSFERASE_RXN_x_Close,0.0,-1000.0
ALANINE_AMINOTRANSFERASE_RXN_x_Day,0.0,-1000.0
ALANINE_AMINOTRANSFERASE_RXN_x_Night,0.0,-1000.0
ALANINE_AMINOTRANSFERASE_RXN_x_Open,0.0,-1000.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Close,1000.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Day,1000.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Night,1000.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_Open,1000.0,0.0
ALANINE_TRNA_LIGASE_RXN_c_Close,0.0,0.0
ALANINE_TRNA_LIGASE_RXN_c_Day,0.0,0.0
ALANINE_TRNA_LIGASE_RXN_c_Night,0.0,0.0
ALANINE_TRNA_LIGASE_RXN_c_Open,0.0,0.0
ALCOHOL_DEHYDROG_RXN_c_Close,0.0,0.0
ALCOHOL_DEHYDROG_RXN_c_Day,0.0,0.0
ALCOHOL_DEHYDROG_RXN_c_Night,0.0,0.0
ALCOHOL_DEHYDROG_RXN_c_Open,0.0,0.0
AMPSYN_RXN_p_Close,0.0,0.0
AMPSYN_RXN_p_Day,0.0,0.0
AMPSYN_RXN_p_Night,0.0,0.0
AMPSYN_RXN_p_Open,0.0,0.0
AMP_ATP_xc_Close,0.0,0.0
AMP_ATP_xc_Day,0.0,0.0
AMP_ATP_xc_Night,0.0,0.0
AMP_ATP_xc_Open,0.0,0.0
AMP_pc_Close,499.9999999999983,-500.00000000000006
AMP_pc_Day,499.99999999999915,-500.0
AMP_pc_Night,499.9999999999259,-500.00000000000017
AMP_pc_Open,500.0000000000171,-499.99999999999807
ANTHRANSYN_RXN_p_Close,0.0,0.0
ANTHRANSYN_RXN_p_Day,0.0,0.0
ANTHRANSYN_RXN_p_Night,0.0,0.0
ANTHRANSYN_RXN_p_Open,0.0,0.0
ARGININE_TRNA_LIGASE_RXN_c_Close,0.0,0.0
ARGININE_TRNA_LIGASE_RXN_c_Day,0.0,0.0
ARGININE_TRNA_LIGASE_RXN_c_Night,0.0,0.0
ARGININE_TRNA_LIGASE_RXN_c_Open,0.0,0.0
ARGSUCCINLYA_RXN_c_Close,0.0,0.0
ARGSUCCINLYA_RXN_c_Day,0.0,0.0
ARGSUCCINLYA_RXN_c_Night,0.0,0.0
ARGSUCCINLYA_RXN_c_Open,0.0,0.0
ARGSUCCINSYN_RXN_c_Close,0.0,0.0
ARGSUCCINSYN_RXN_c_Day,0.0,0.0
ARGSUCCINSYN_RXN_c_Night,0.0,0.0
ARGSUCCINSYN_RXN_c_Open,0.0,0.0
ARG_CITRULLINE_mc_Close,1000.0,-1000.0
ARG_CITRULLINE_mc_Day,1000.0,-1000.0
ARG_CITRULLINE_mc_Night,1000.0,-1000.0
ARG_CITRULLINE_mc_Open,1000.0,-1000.0
ARG_HIS_mc_Close,1000.0,-1000.0
ARG_HIS_mc_Day,1000.0,-1000.0
ARG_HIS_mc_Night,1000.0,-1000.0
ARG_HIS_mc_Open,1000.0,-1000.0
ARG_LYS_mc_Close,1000.0,-1000.0
ARG_LYS_mc_Day,1000.0,-1000.0
ARG_LYS_mc_Night,1000.0,-1000.0
ARG_LYS_mc_Open,1000.0,-1000.0
ARG_ORNITHINE_mc_Close,1000.0,-1000.0
ARG_ORNITHINE_mc_Day,1000.0,-1000.0
ARG_ORNITHINE_mc_Night,1000.0,-1000.0
ARG_ORNITHINE_mc_Open,1000.0,-1000.0
ARG_PROTON_rev_vc_Close,0.0,0.0
ARG_PROTON_rev_vc_Day,1.2339921034823276,0.0
ARG_PROTON_rev_vc_Night,-2.6317844393954775e-10,0.0
ARG_PROTON_rev_vc_Open,0.0,0.0
ARG_PROTON_vc_Close,0.0,0.0
ARG_PROTON_vc_Day,1.2339921035037837,0.0
ARG_PROTON_vc_Night,0.0,0.0
ARG_PROTON_vc_Open,0.0,0.0
ARG_mc_Close,0.0,0.0
ARG_mc_Day,0.0,0.0
ARG_mc_Night,0.0,0.0
ARG_mc_Open,0.0,0.0
ASNSYNA_RXN_c_Close,0.0,0.0
ASNSYNA_RXN_c_Day,0.0,0.0
ASNSYNA_RXN_c_Night,0.0,0.0
ASNSYNA_RXN_c_Open,0.0,0.0
ASN_PROTON_rev_vc_Close,0.0,0.0
ASN_PROTON_rev_vc_Day,1.2339921034950685,0.0
ASN_PROTON_rev_vc_Night,0.0,0.0
ASN_PROTON_rev_vc_Open,0.0,0.0
ASN_PROTON_vc_Close,0.0,0.0
ASN_PROTON_vc_Day,1.2339921035042978,0.0
ASN_PROTON_vc_Night,0.0,0.0
ASN_PROTON_vc_Open,0.0,0.0
ASPAMINOTRANS_RXN_c_Close,1000.0,-1000.0
ASPAMINOTRANS_RXN_c_Day,1000.0,-1000.0
ASPAMINOTRANS_RXN_c_Night,1000.0,-1000.0
ASPAMINOTRANS_RXN_c_Open,1000.0,-1000.0
ASPAMINOTRANS_RXN_m_Close,1000.0,-1000.0
ASPAMINOTRANS_RXN_m_Day,1000.0,-1000.0
ASPAMINOTRANS_RXN_m_Night,1000.0,-1000.0
